"","description","color","variety","country","id"
"77950","This is a very fine wine with considerable bottle age. From its orange-pink color to its mature toast and almond flavors, this complex wine is much more than the fruit that has merged with the secondary flavors. Light tannins and a crisp texture are balanced by the softness that comes from the relatively high dosage. The wine, beautifully mature, is ready to drink.","Sparkling","Champagne Blend","France",77950
"49280","With very ripe pineapple and pear flavors, this Chard also has a taste like cheddar cheese-dusted buttered popcorn. Crisp acidity helps to provide balance.","White","Chardonnay","US",49280
"11732","Dry Riesling of this quality is capable of aging up to two decades, especially under screw cap. this one is medium bodied and dominated at the moment by ripe, citrusy fruit. It's more orange than lime, yet still shows great acidity and length. Drink 2020–2030.","White","Riesling","Australia",11732
"72550","Very tart, almost sour, this high-acid wine just might be a good match for fresh oysters, but on its own it is slightly bitter and barely ripe.","White","Pinot Gris","US",72550
"84438","This 100% Sangiovese opens with aromas that recall coffee, scorched earth and toasted oak. The fleeting palate offers espresso, mocha and a green note of powdered sage alongside astringent tannins. The fruit has mostly dried out.","Red","Sangiovese","Italy",84438
"25733","One of the wines produced to celebrate the family's 500-year history, this is intensely herbal, with taut and highly textured minerality. It tastes of the chalk soil with its zesty flavor, bursting out of the glass. Drink this still young wine from 2018.","White","Sauvignon Blanc","France",25733
"84717","The result of a joint project between Michel Rolland and Jair Agopian, this Bulgarian Bordeaux-style blend has primary aromas of ripe blackberry, dark cherry and black plum that give way to intriguing secondary notes of saddle leather, tobacco leaf and graphite. It exhibits nice weight on the midpalate with juicy flavors of cassis, black raspberry and cherry vanilla. The tannins are firm yet velvety and there is a surprising burst of bright fruit in the finish.","Red","Bordeaux-style Red Blend","Bulgaria",84717
"51795","With some firm structure behind the red fruits, this wine will have a good future. A dry core sustained by the acidity is waiting to burst out and give a ripe, fruity while always fresh wine. Drink from 2018.","Red","Pinot Noir","France",51795
"105073","Aromas of summer orchard fruit and citrus blossom lead the nose on this bright, direct white. The linear palate doles out yellow apple, tangerine zest and a hint of mineral alongside brisk acidity.","White","Pinot Bianco","Italy",105073
"81089","While the nose is on the simple side, with ultraripe—almost confected—cherry, cocoa powder, flowers and medicinal herbs, it's the palate that draws you in. Fresh acidity, particularly for the variety, and a good lick of tannins round out this sleek, well-structured wine. Drink now–2025.","Red","Grenache","Australia",81089
"78046","Pronounced like “Cyrano,” this blend of 63% Petite Sirah, 28% Pinot Noir and 9% Syrah successfully mingles these distinct varieties. Crushed mulberry, strawberry and black plum meet with thyme and mint-chocolate-chip aromas on the nose. The palate shows similar flavors, yet is more subtle than a typical Petite Sirah, with a plush mouthfeel.","Red","Red Blend","US",78046
"20414","Always pretty, always polished, St. Jean's '05 Cinq Cepages is a solid red wine that drinks well now and should develop with a few years in the cellar. It's dry and firm in tannins, with flavors of blackberries, cassis and new smoky oak, marked by a soft texture of finely ground tannins.","Red","Cabernet Sauvignon","US",20414
"78849","Produced close to the sea at Bandol, this wine has a good proportion (20%) of Mourvèdre in the blend. That adds to the richness and brings out a fine aromatic floral character. Wild strawberries flavors give a rich ready-to-drink aftertaste.","Rosé","Rosé","France",78849
"53144","Cigar box, green olive, herbal notes and field scents define the bouquet on this single-vineyard Cabernet. With bright acidity, the palate displays raciness along with oak-driven flavors of chocolate, mint, vanilla and herbal berry fruits. A lasting finish is spicy, herbal and mildly green in flavor.","Red","Cabernet Sauvignon","Argentina",53144
"104745","A terrific Pinot Noir that's so delicious, you can't stop drinking it, and also shows a wonderful, classic coastal complexity. With tangy acidity and ultrarefined tannins, it gives the essence of wild raspberries and cherries. There's a feral quality to the fruit; you can detect notes of mountain eucalyptus, fennel and lavender. Oak adds the perfect touch of smoke. Just lovely, now and through 2014.","Red","Pinot Noir","US",104745
"56117","This blend of 60% Grenache, 20% Syrah and 20% Mourvèdre delivers juicy, almost gulpable fruit, supported by a loose spine of soft tannins. Purple raspberry and black cherry flavors linger on the supple finish. Drink now–2018.","Red","Rhône-style Red Blend","France",56117
"76871","Concentrated black plum and violet notes mesh with potting soil, cola and a candied black-raspberry character on the nose of this bottling. The palate combines boysenberry with woody elderberry fruit as well as a warmer red cherry and red-plum core, edged by pine needles, juniper and tart pomegranate complexity.","Red","Pinot Noir","US",76871
"92359","A terrific wine, smooth, complex and ageworthy. Mainly Cabernet Sauvignon from Diamond Mountain, it shows mountain intensity of fruit, with a molten core of blackberries and black currants. The tannins are bigtime, yet smooth and refined in the modern style, and the finish is elaborate in fruits and spices. A monument to what this fine winery can achieve at the top level. Hold until 2015, after which it should provide great drinking for additional years.","Red","Bordeaux-style Red Blend","US",92359
"27191","Carbonic maceration is the fermentation technique employed in this wine. It brings out vibrant Bing-cherry flavors and with a hint of bread dough. There are interesting highlights of cured meats also. This is a good choice for drinking with roasted birds.","Red","Pinot Noir","US",27191
"75556","Lovely aromas meld rose petals and raspberries, while flavors convey sweet cherries with a dash of chocolate. Light hints of leaf and stem add complexity to the midpalate, and a hint of bacon surprises and delights in the finish.","Red","Pinot Noir","US",75556
"58703","A somewhat unusual expression of Viognier with notes of lime, lime leaf, and white peach that seem more reminiscent of a Sauvignon Blanc. It's full bodied and viscous, ending with a bitter note.","White","Viognier","US",58703
"57254","Youthfully fruity now, with sweet, jammy flavors of blackberries, cherries, raspberries, licorice, vanilla oak and spices. Comes from the warm, southern part of Salinas Valley. Could develop, but it's a gamble.","Red","Bordeaux-style Red Blend","US",57254
"104289","Dry and silky in the mouth, it has cherry, cola and sandalwood flavors. However, the wine is compromised by a mushroomy, vegetal unripeness. Drink up.","Red","Pinot Noir","US",104289
"45947","Hailing from Olsen and Elephant Mountain vineyards, this wine brings black currant, huckleberry and dark plum aromas that smell pure and sweet. The black fruit and smoke flavors display a mixture of concentration and restraint.","Red","Syrah","US",45947
"82190","The success of this wine owes as much to Merlot as to Cabernet. The Merlot has created the ripeness and smoothness of the wine. While the Cabernet keeps it firm and closed up, there is a base of rich, sweet fruit here that will show over the next two years. The style of the wine is moving away from elegance to power under the new regime of owners, Champagne Roederer.","Red","Bordeaux-style Red Blend","France",82190
"68841","Cola and soft red raspberry scents show on the nose of this blend of 58% Grenache, 25% Mourvèdre, 17% Syrah. It's easy-drinking and simple, with red fruit, white pepper and asphalt hints. A great, light, quaffable red for a warm day.","Red","Rhône-style Red Blend","US",68841
"27392","With an aroma like prosciutto and melon, a soft texture, and attractive floral and ripe peach flavors, this is a fun and affordable wine to drink at lunch or before dinner.","White","Viognier","US",27392
"52272","Tastes like apricot pie filling, mixed with vanilla, cinnamon and nutmeg spice, with the smoky pastry crust. Simple and direct.","White","Chardonnay","US",52272
"69713","A really rich Cabernet, jam-packed with blackberry, cherry, raspberry and mocha flavors that are slightly sweet, with a brown sugar taste. The sweetness comes from the caramelized oak, not residual sugar, but the wine does have a candied quality. A bit rustic now. Give it 5–6 years and try again.","Red","Cabernet Sauvignon","US",69713
"34946","A simple, everyday wine. Tastes grapey and jammy, with blackberries, cherries and raspberries that are distinctly sweet.","Red","Cabernet Sauvignon","US",34946
"19724","This is a solid effort, with good varietal character and definition. Half was fermented in stainless, half in neutral barrel, and the wine was given extended (130 days) lees contact. The herbal, peppery tang of the grape is clearly there, with intriguing hints of slate laced through the finish. This would be dynamite with sushi.","White","Grüner Veltliner","US",19724
"36748","Bennett Valley is a cooler section of Sonoma County, and maybe the cool vintage was just too much. This wine isn't quite ripe.It's bone dry, acidic and tannic, and the fruit is herbal.","Red","Syrah","US",36748
"93767","The Chéreau family has long been proponents of wood-aging for some Muscadets. Also, so it appears, of long aging. The toasty aromas and flavors that still dominate the wine give it a Chardonnay feel, replacing the crispness of melon with a round creamy flavor. There is spice, but also some oxidation.","White","Melon","France",93767
"31188","Always a fine value, Barnard Griffin's Merlot is a brightly fruit wine with tart red and purple berry flavors. Tannins are still a bit stiff, but proportionate and ripe enough, with hints of café mocha in the finish.","Red","Merlot","US",31188
"30534","If you get at this now you may still enjoy the wine's freshness. Aromas of apricot and apple are clear and unadulterated by oak. The flavors of lemon, apple, pineapple and green papaya are zesty, while lasting acidity on the finish leaves a cleansing, wet impression.","White","Chardonnay","Argentina",30534
"56513","This delicious Zin has almost everything one could ask for. It offers aromas of spicy oak and enticing ripe fruit. Flavors of black cherry and blackberry layer over subtle baking spices and smoke, while a great texture combines fine-grained tannins and firm acidity. A velvety viscosity helps flavors linger on the finish.","Red","Zinfandel","US",56513
"27874","This is a tight and racy take on a rarely planted grape for the region. with scratched lemon peel and lime pith aromas, plus a brie cheese-rind character. It's lively on the palate, with grapefruit peels, white flowers, lime juice and a touch of ripe apple flesh. Expect longevity.","White","Grüner Veltliner","US",27874
"80154","Smells candied and gummy, with sweet, stewy red-berry aromas along with carob. The palate is fairly full and tannic, with cooked, herbal berry flavors that carry over onto the finish, which folds in coffee and grabby tannins. Good enough but sort of stewed and candied.","Red","Cabernet Sauvignon","Argentina",80154
"28918","The Estates Reserve is a barrel selection combining chosen lots from the three estate vineyards. Despite this vintage's reputation for offering ripe, forward, accessible flavors, this wine remains stubbornly closed. It's entirely possible that it has just hit a bit of a dumb phase, which is not uncommon for recently-bottled Pinot Noir. Ripe full-bodied flavors of strawberry preserves peek through, with moderating acids and no herbal notes.","Red","Pinot Noir","US",28918
"91194","The aromas are a bit too prickly and pickled to call the nose clean, and thus the wine never really achieves solid footing. The raspberry and strawberry fruit is there, but it's marred by sharp, pickled accents, which ultimately don't work in its favor. The feel is nice, as the acidity and tannins are proper. But with too much funk to the nose and palate, it misses the upper echelon.","Red","Tempranillo","Spain",91194
"81230","Fruity and crisp, this bright wine offers flavors of lemon and fresh apple juice. A tangy lemon-zest texture gives great acidity and a refreshing aftertaste. Drink now.","White","Chardonnay","France",81230
"25502","This is a pristine and elegant Bolgheri Superiore with a particularly focused aromatic profile. The blend is 60-20-20 Cab Sauvignon, Cab Franc and Merlot. A green, herbal note comes through. You'll also recognize elements of caper, green olive, mineral, tobacco and exotic fruit. It shows thick fruit and dense concentration as well.","Red","Red Blend","Italy",25502
"95274","Aromas of mocha, tire rubber, herbs and blue fruit aren't entirely in sync. They lead to a palate with soft, fleshy fruit flavors and a light structure trying to hold it all together.","Red","Merlot","US",95274
"74529","Dark berry aromas, chocolate and grit define the nose on this blend of Syrah, Cabernet and Tempranillo. The palate feels ripe and fresh, but the tannins are hard and grabby. Black plum flavors are bold and offer notes of spice, herbs and earthiness. This is composed on the finish despite a reprise of hard smacking tannins.","Red","Red Blend","Spain",74529
"90077","Earns points for sheer size, a powerhouse of concentrated, intense blackberry and cassis flavors, liberally coated with oak. The tannins are big, thick and hard, and at this point, the wine is not showing much drinkability. Ageability might be compromised by some superripe, raisiny fruit notes. Tasted twice.","Red","Cabernet Sauvignon","US",90077
"50276","The nose signals crunchy, crisp red apple, which also follows through on the sprightly, wonderfully foamy and fresh palate of exquisitely small bubbles. This is light but full-fruited, brimming with all the crunch of Red Delicious and Braeburn apples supported by just a little shortbread richness from the yeast. There is concentration and poise, utter freshness and quite a bit of length.","Sparkling","Sparkling Blend","Austria",50276
"88882","Spine-tingling lime and lemon notes dominate this light-footed dry Riesling. Refreshingly mineral on the palate, it finishes brisk and clean.","White","Riesling","Germany",88882
"100197","Crisp, round and spicy, this has dominating flavors of apples and pears. A green plum flavor and pure acidity complement the finish.","White","Portuguese White","Portugal",100197
"20355","A touch of honeysuckle meets ripe, juicy pear on the nose. The palate adds a touch of residual sweetness to boost the fruit flavors, as well as a pithy, slightly bitter texture to provide a frame. Everything is shot through with bright, lively lemon freshness, which is exactly what makes the wine so moreish in its medium-sweet way.","White","Gewürztraminer","France",20355
"59097","Ripe and round, this soft, juicy wine shows just a hint of a more serious tannic structure. It has plenty of acidity to go with its warm, red cherry flavors. Drink now, or better from 2015.","Red","Gamay","France",59097
"95751","Fans of great big wines will like it, but this Petite Sirah is unbalanced, with heat from high alcohol compounding the acidity, making the mouhtfeel prickly. The berry flavors are overripe, running into raisins and chocolate.","Red","Petite Sirah","US",95751
"25332","Rich and fruity in Cabernet character, with blackberry, blueberry and cherry jam flavors subtlely tinged with oak. With soft tannins and a dry finish, it's a fine expression of Cabernet for drinking now.","Red","Cabernet Sauvignon","US",25332
"89549","Piercing aromas of char and creosote are like a laser pop surrounded by a note of blackberry. This is raw, tannic and hard on the palate. Chunky berry flavors are heavily oaked, while this is jammy in feel and tastes of blueberry on the finish. Drink through 2021.","Red","Malbec","Argentina",89549
"100151","Peach blossoms, fresh apricot, light jasmine and a warm white peach cream character show on the nose of this bottling. There is a nice sizzle of acidity right away on the palate, and a pithy, cement-like grip, as well as full flavors of apple and peach blossoms that are rich and yet not overpowering.","White","Chardonnay","US",100151
"57305","Mild citrus aromas come with green notes. This is a medium-level Sauvignon Blanc without a lot of acidic snap. Melon and grapefruit flavors are friendly, simple and chunky, while overall this shows characterisitcs of a warm, bland vintage.","White","Sauvignon Blanc","Chile",57305
"86684","This is a big, bold wine with a wild, slightly earthy and herbal character in the otherwise ripe blackberry and spicy pepper aromas and flavors. The texture is quite thick with tannins, and the body is full. It comes from the windy and cool Jameson Canyon corner of Napa Valley.","Red","Syrah","US",86684
"21702","There's a diluted nature to this wine, from a selection of varietal clones. Dry, it holds back on flavor, delivering a light texture and soft red-fruit flavors.","Red","Pinot Noir","US",21702
"104811","This is a wonderful wine that's dryish and vital in acidity, with savory Meyer lemon, grapefruit, lemongrass, apricot and vanilla flavors. A touch of oak brings a buttered toast richness. Only 260 cases were produced.","White","Sauvignon Blanc","US",104811
"68634","With a nose of strong plum and baked raspberry, Miro's blend of 67% Grenache, 25% Mourvèdre and 8% Syrah is strong in Grenache's perfumed rose petal and bright fruit flavor, fairly priced and sure to be enjoyed with food.","Red","G-S-M","US",68634
"12459","This wine features the signature, woodsy, savory aromas of Phillips Hill. It has a lighter, slightly tawny color compared with most of its peers from Anderson Valley. Flavors combine spice and fruit with meaty, mushroomy notes, giving character and personality to a delicious wine.","Red","Pinot Noir","US",12459
"70464","Ultraripe black fruits—berries and cherries, along with raisins—reflect the high alcohol. Even so, the wine carries an impression of almost sugary sweetness, as if still not fermented completely dry. Spice cake and plum pudding, with heat on the finish, mark this as extreme by previous Fielding Hills standards. Drink soon.","Red","Syrah","US",70464
"76681","Tamaya seems to have turned the corner with its 2008 Cabs (the reserva is also very good). This wine is condensed and concentrated, with blackberry jam and other sweet berry aromas. The palate is pure and tastes of cassis and black fruit, while the finish has cola notes and a slight tannic bite. Generous for the price. Imported by Ecovalley Quality Wine Group and National Refrescos Import Company, LLC.","Red","Cabernet Sauvignon","Chile",76681
"89323","Made with 85% Sangiovese, 10% Alicante Bouschet and 5% Merlot, this savory red delivers aromas and flavors of underbrush, black cherry, licorice and a hint of Mediterranean herb. It's easy drinking and balanced with lithe tannins.","Red","Red Blend","Italy",89323
"102395","Here's a subdued and understated Dolcetto that has been executed in a lighter, fruit-forward style with informal appeal and sour tannins on the close. You'll recognize aromas of dark fruit, berries and fresh spice.","Red","Dolcetto","Italy",102395
"93097","There's a firm, clean minerality to this Chardonnay, like a lick of cold granite, that shines through the citrus and tropical fruit flavors. A touch of oak brings buttered toast. It's an elegant, food-friendly wine at a price that won't break the bank.","White","Chardonnay","US",93097
"56075","Not quite up there with the wonderful 2003, probably due to the hot vintage, which made it a little soft and overripe, but it's a very good wine. Shows black currant, mu shu plum sauce, baker's chocolate, leather, clove and pepper flavors, wrapped into firm tannins. At its best now and for a year or two.","Red","Syrah","US",56075
"86217","A big and powerful wine with a vibrant, rich texture. Dense black plum and ripe berry fruits push through the firm tannins. The wine is smooth and perfumed with a big spicy aftertaste. Drink now, or keep for 2–3 years.","Red","Mourvèdre","France",86217
"76467","Gooseberry and feline aromas are true to the variety but a bit austere and sharp. The palate is plump like you'd expect from warm-climate SB, while flavors of nectarine, citrus and melon finish full, tangy and a bit heavy.","White","Sauvignon Blanc","Argentina",76467
"79293","Here's a charming and fresh Barbera d'Asti with delicious cherry, raspberry and white pepper flavors. It's simple but well made, and is all about easy enjoyment. Pair this with mushroom risotto or hearty pasta dishes.","Red","Barbera","Italy",79293
"101276","Cuvée V, MAN's homage to the wines of Vouvray, is an attractive and semisweet-style Chenin Blanc that offers rich aromas of peach, lightly baked apple and tropical fruit. A slight prickle from the bright acidity dances on the palate and keeps the wine from feeling too sweet or heavy. Drink now.","White","Chenin Blanc","South Africa",101276
"85449","Tastes overworked and sweetly heavy, with super-extracted pineapple jam, orange tapioca and butterscotch flavors. A heavy hand has been applied here.","White","Chardonnay","US",85449
"82469","This opens with subdued aromas of dark berry, cake spice, espresso and a whiff of pressed violet. On the straightforward palate, hints of white pepper and star anise add depth to dried morello cherry while solid tannins lend support.","Red","Nebbiolo","Italy",82469
"13247","Golden pear and citrus fruit shimmer in the glass. The palate is ripe and fresh, made taut by citrus but glowing with ripe juicy pear and red apple. There is a lovely textured midpalate that is reminiscent of chalk, shot through with freshness that underlines the ripe fruit of 2015 even more. This is tangy and refreshing, concentrated and dry with a lovely long and whistle-clean aftertaste.","White","Riesling","France",13247
"106275","Lots of delicious blackberry, cherry, cola, roasted meat and sandalwood flavors in this Syrah. While it has a certain fanciness, it's kind of simple, soft in structure and without a future. Drink it now, especially with lamb dishes, or try a vegetarian lasagna.","Red","Syrah","US",106275
"100252","Pineapple and grapefruit flavors are accented by hints of tomato leaf, meaning this conforms to the basic Marlborough profile that blends fruit with grassy, herbal notes. Pretty good, it just fades a bit quickly on the finish.","White","Sauvignon Blanc","New Zealand",100252
"89651","This is overtly rustic, roasted, leathery and strange on the nose. A wide but wayward palate seems sluggish, while rubbery black-fruit and burnt-wood flavors finish with murky berry tones.","Red","Cabernet Sauvignon","Chile",89651
"68066","Ripe but not jammy fruit flavors and firm texture make this a stand-up wine, even if it weren't such a great value. It has classic dark berry and light herb aromas, deep, fruity flavors and a big but plush mouthfeel.","Red","Red Blend","US",68066
"89558","This Bordeaux-style blend—with an addition of Mourvèdre—is soft, simple and cloying, with vegetal flavors alongside the sweet raspberry jam note. High alcohol makes for a hot mouthfeel.","Red","Bordeaux-style Red Blend","US",89558
"68787","Aromas of exotic spice, wild berry, blue flower and French oak meld together on this luminous delicious red. The bright structured palate delivers succulent cherry, crushed raspberry, licorice and vanilla alongside polished elegant tannins that give it an irresistibly smooth texture. Bright acidity lends balanced. Drink 2019–2033.","Red","Nebbiolo","Italy",68787
"73907","This blend of Cabernet Sauvignon, Merlot, Syrah and Sangiovese brings bright aromas of cranberries, red currants and cherries. The palate packs a punch of dark-fruit flavors, showing some heat on the finish.","Red","Red Blend","US",73907
"26351","Sangiovese, Syrah and Merlot are blended to form a rich and supple red, with black cherry, chocolate, cinnamon and blackberry nuances. The mouthfeel is characterized by richness, softness and a touch of bright crispness.","Red","Red Blend","Italy",26351
"24979","Despite its low alcohol level, this is an attractively plump, medium-bodied wine, marked by a harmonious kaleidoscope of fruit. Passion fruit, nectarine and pink grapefruit all make appearances before vanishing a bit quickly on the finish.","White","Sauvignon Blanc","New Zealand",24979
"1900","Negociant Hughes continues to produce compelling wines at everyday prices. This Syrah, from one of Napa Valley's best mountain regions, is dry and thick in refined tannins. But it's so rich in black currants, black cherries, chocolate, pepper and sweet, smoky oak that it's delicious now.","Red","Syrah","US",1900
"80063","This is one of the best Pinots Riverbench has produced. It's a delight to drink, with a silky, gentle texture and crisp acidity to get your mouth watering. For all the lightness of mouthfeel, the flavors are serious, suggesting raspberries and cherries with earthy notes of mushrooms, cola and herb tea. It would not be surprising if this wine was still gaining traction in 2020, but you can decant it and drink it now.","Red","Pinot Noir","US",80063
"84746","Tasting similar to Chardonnay, this has a buttery, creamy texture that frames orange, citrus and tropical fruit flavors. It gains extra points for delicacy and balance. The appellation is in San Benito County, about 25 miles inland from Monterey.","White","Pinot Blanc","US",84746
"70231","Somewhat unusual for the appellation, this wine doesn't include any Syrah; the blend is 80% Grenache and 20% Carignan. This medium- to full-bodied wine offers hints of Mexican chocolate, ripe black cherries and dried herbs backed by a smooth, silky, long finish. Drink now–2022.","Red","Rhône-style Red Blend","France",70231
"78856","American Brad Hickey has turned out a full-bodied, richly textured Shiraz that features a strong savory component. Hints of eucalyptus, roasted meat, espresso and plum all come together to finish long and velvety. Drink now through 2025.","Red","Shiraz","Australia",78856
"100370","This eight-year old wine, based on Touriga Nacional, is ripe, now mature with the tannins fully integrated into the rich black fruit. It is firm with a structure that gives concentration and perfumed acidity. The wine is still dark and dense although ready to drink.","Red","Portuguese Red","Portugal",100370
"44829","So upfront in spectacularly ripe raspberry, cherry and mocha flavors, it's hard to keep from draining the bottle now. This shows the classic tannins of Stags Leap, soft and sweet but potent. Drink it now and enjoy for sheer opulence, but you might be missing out on something really special around 2016.","Red","Cabernet Sauvignon","US",44829
"5606","Aromas of freshly-sawn wood set the scene on a wine that is full of new-wood toast and vanilla flavors. The fruit is also present, resulting in a wine that has balanced potential in maybe 4–5 years. A fine effort.","Red","Bordeaux-style Red Blend","France",5606
"37797","The opening of smoke, rubber and black cherry comes across as being dark and good. The palate holds form with lively cherry, plum and currant flavors and finally a medium-long, somewhat warm and meaty finish. Good for an everyday, no-frills Garnacha.","Red","Grenache","Spain",37797
"89283","Developed aromas of forest floor and mushrooms come as no surprise, given the deep brick color on this Alsace Pinot. The highly nuanced palate is complex and shot through with mineral notes. Cherry cola flavors dominate the long finish. An excellent foil for squab or other game birds.","Red","Pinot Noir","France",89283
"89149","Fully ripe aromas of blackberry, raisin, vanilla and wood grain set up a fleshy, bold palate that's tannic, but not tough or impermeable. Savory oak and ripe berry fruit flavors finish chewy and dense, with moderate complexity. Drink through 2025.","Red","Tempranillo","Spain",89149
"68072","A pleasant, citrusy Chardonnay, but one that is well-oaked, with the resulting aromas and flavors of vanilla and buttered toast. Lemon and lime flavors veer into riper peach, and are wrapped in a creamy texture. Acidity is quite high and bursts on the palate with a mouthwatering zest.","White","Chardonnay","US",68072
"33606","A fruity, apple-driven wine, this has a creamy texture. It is soft, lightly spicy and with delicious acidity. The wine is fruity, fragrant and refreshing. Drink now, reveling in the fruit.","White","Chardonnay","France",33606
"26440","A concentrated wine, just beginning to open up, with a serious, maybe austere mineral element, as well as vibrant kiwi and citrus flavors. It is softened by aging in older wood, giving some roundness to finish.","White","Chardonnay","France",26440
"9824","This vineyard-designate Brunello opens with ripe tones of prune, thick blackberry fruit and lingering but subdued Indian spice. This is not an overblown or overly intense wine. Instead, the focus is on elegance and longevity.","Red","Sangiovese Grosso","Italy",9824
"74682","With jammy flavors of blackberries, cherries, raspberries and smoky oak, this easy-drinking Petite Sirah shows the peppery notes and thick tannins of the variety. Drink now.","Red","Petite Sirah","US",74682
"57203","The aromas bring generous notes of botrytis, chamomile, flowers, peach, ale and green apple. It drinks off dry, with well-balanced stone fruit and floral flavors that linger.","White","Riesling","US",57203
"14912","A disappointment after the rich 2005. They should have declassified this vintage. The wine is dry and sharp, with green, sharp acids and modest berry, currant and herb flavors.","Red","Bordeaux-style Red Blend","US",14912
"8298","This Syrah-based blend of five different red grapes may be “big” in blending components, but it's quite sleek and elegant on the palate. It's not a deeply concentrated brooding wine, but brisk and spry, offering fresh black-cherry and berry flavors. Soft feathery tannins and notes of cedar and forest floor linger on the finish.","Red","Red Blend","US",8298
"35357","Kudos to Azalea Springs for bottling this with a screwtop. The vineyard is between St. Helena and Calistoga, at the foot of Diamond Mountain. It has mountain-sized tannins, making it astringently hard. It also has a solid core of blackberry and black currant fruit. This is not one of your soft, gentle cult Cabs, it's one that demands cellaring. Best 2010–2014.","Red","Cabernet Sauvignon","US",35357
"42111","The wine seems lean, austere and minerally in character. It has stalky black-currant fruits, firm tannins and forward acids. It should age over 2–3 years, but it will always be on the severe side.","Red","Bordeaux-style Red Blend","France",42111
"17076","A wonderfully firm wine, which balances extraction with pure sweet fruit. It moves comfortably within its tannic structure, the ripe Merlot allowed plenty of play to show off its black jelly and plum flavors.","Red","Bordeaux-style Red Blend","France",17076
"63853","Exuberant notes of tropical passion fruit rise from the glass in this unusually aromatic Grüner Veltliner. Citrusy freshness pervades everything, giving lively direction to the bright, slightly spritzy palate. The finish is zesty, clean and refreshing.","White","Grüner Veltliner","Austria",63853
"41151","This vibrant wine shows how well this grape variety does in Amador County. It melds beautiful, pure, almost jammy aromas and flavors with a rich, layered and soothing texture. The color is quite dark, the aromas drip blackberry and boysenberry, the flavors are deep and the mouthfeel broad.","Red","Barbera","US",41151
"72740","Rich, soft and creamy, with flamboyantly ripe raspberry and cherry pie filling, vanilla, roasted almond, honey and cinnamon spice flavors. Tastes like a granola fruit bar in wine form, with a pleasantly hot hit of alcohol. Drink now.","Red","Syrah","US",72740
"63240","Jean-Marc Lafont's 2.8 acres of sandstone soil in this area of Moulin-à-Vent has produced a ripe, solidly structured wine. Wood aged and with a rich, tight texture and firm tannins, it is a cru wine to age. It is a bold ripe wine, ready to drink from 2019.","Red","Gamay","France",63240
"89254","Black-fruit aromas of cassis and boysenberry are not overdone nor overoaked. Thie palate feels somewhat spiky and acidic, with a tartaric bite. A flavor profile comprised of salty berry fruits finishes briny and herbal, with good weight and balance.","Red","Cabernet Sauvignon","Chile",89254
"61960","It's very good, with deep, delicious flavors of tropical fruits, minerals and vanilla, accented with elaborate oak and brightened with crisp acidity. Production was a low 223 cases, but it's worth a search.","White","Chardonnay","US",61960
"34462","Big and blasting on the nose, with heat and burn. The palate is high-wire boysenberry and a lot of acid, and ultimately it borders on sour and fiery, which probably isn't the intention. Wiry and piercing for a pricey, 800-case-production Malbec.","Red","Malbec","Argentina",34462
